"H0000200","H0013201","R0000100","R0000149","R0173600","R0214700","R0214800","T2210000","T2210700","T3107800","T3108600","T4112300","T4113100","T5022600","T5023500","T5770800","T5771400","T7743900","T8218700"
-4,-4,8572,8571,12,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1998,2008,8573,8573,10,2,1,-2,8,70000,8,5000,8,30000,8,30958,8,-4,0
2000,2010,8574,8573,10,2,1,53000,11,43300,11,46000,11,41523,11,56500,11,-4,56000
2002,2012,8575,8573,10,2,1,-2,12,61740,12,-2,12,-2,12,54000,12,-4,30000
2004,2014,8576,8573,10,2,1,7300,11,11000,12,8000,12,396,12,-2,12,-4,-3
2002,2010,8577,8577,10,2,1,108000,12,46000,12,42000,12,54000,12,50000,12,-4,40000
2002,2012,8578,8577,13,2,2,22000,9,22376,9,25000,9,27946,9,30000,9,-4,35000
1998,2008,8579,8579,13,2,2,15000,12,-2,12,2400,12,-2,12,-2,12,-4,2500
1998,2008,8580,8579,13,2,2,25000,12,22000,12,-2,12,-5,-5,-5,-5,-5,-5
2000,-4,8581,8579,10,2,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2004,2014,8582,8579,10,2,1,100904,13,57514,13,40000,13,45000,13,88010,13,-4,0
2000,2010,8583,8583,13,2,2,59000,13,40996,13,40840,13,50000,13,-2,13,-4,-3
